# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  133       5.005468101333e-10       1.461190748072e-13      -5.565913108801e-12       0.000000000000e+00       4.982037466116e-12       8.332088946879e-13      -5.142874821603e-15 
  134       5.050788502762e-10       1.465178552682e-13      -5.616536517337e-12       0.000000000000e+00       4.878113742982e-12       8.194893482592e-13      -5.069557446352e-15 
  135       5.096074619396e-10       1.468517518867e-13      -5.664860629201e-12       0.000000000000e+00       4.777056196056e-12       8.060805730887e-13      -4.997785214641e-15 
  136       5.141315120088e-10       1.471205175780e-13      -5.710823568510e-12       0.000000000000e+00       4.678807041239e-12       7.929797512875e-13      -4.927458439344e-15 
  137       5.186498007122e-10       1.473239799200e-13      -5.754364262188e-12       0.000000000000e+00       4.583293593165e-12       7.801824489413e-13      -4.858463792730e-15 
  138       5.231610600502e-10       1.474620428447e-13      -5.795422477716e-12       0.000000000000e+00       4.490427902089e-12       7.676825746850e-13      -4.790673992375e-15 
  139       5.276639522232e-10       1.475346883298e-13      -5.833938860875e-12       0.000000000000e+00       4.400106390777e-12       7.554723382759e-13      -4.723947487054e-15 
  140       5.321570680597e-10       1.475419780903e-13      -5.869854973499e-12       0.000000000000e+00       4.312209491397e-12       7.435422091677e-13      -4.658128142649e-15 
  141       5.366389254448e-10       1.474840552699e-13      -5.903113331221e-12       0.000000000000e+00       4.226601282409e-12       7.318808750843e-13      -4.593044928050e-15 
  142       5.411079677478e-10       1.473611461330e-13      -5.933657441216e-12       0.000000000000e+00       4.143129125454e-12       7.204752005937e-13      -4.528511601056e-15 
  143       5.455625622511e-10       1.471735617555e-13      -5.961431839954e-12       0.000000000000e+00       4.061623302247e-12       7.093101856816e-13      -4.464326394275e-15 
  144       5.500011330707e-10       1.469217099406e-13      -5.986382505909e-12       0.000000000000e+00       3.981932599000e-12       6.983721812761e-13      -4.400311071876e-15 
  145       5.544225780068e-10       1.466061287151e-13      -6.008458063850e-12       0.000000000000e+00       3.904035780106e-12       6.876589805571e-13      -4.336433102572e-15 
  146       5.588258899923e-10       1.462274593659e-13      -6.027608771589e-12       0.000000000000e+00       3.827940465173e-12       6.771706483971e-13      -4.272694990242e-15 
  147       5.632100254991e-10       1.457864382483e-13      -6.043786195222e-12       0.000000000000e+00       3.753648013191e-12       6.669063312372e-13      -4.209095897577e-15 
  148       5.675739037387e-10       1.452838985363e-13      -6.056943249037e-12       0.000000000000e+00       3.681153366010e-12       6.568642343789e-13      -4.145631558247e-15 
  149       5.719164058634e-10       1.447207719726e-13      -6.067034235413e-12       0.000000000000e+00       3.610444891832e-12       6.470415992762e-13      -4.082294189076e-15 
  150       5.762363741677e-10       1.440980906193e-13      -6.074014884726e-12       0.000000000000e+00       3.541504228690e-12       6.374346808274e-13      -4.019072402212e-15 
  151       5.805326112892e-10       1.434169886083e-13      -6.077842395247e-12       0.000000000000e+00       3.474306127939e-12       6.280387246669e-13      -3.955951117296e-15 
  152       5.848038794097e-10       1.426787038912e-13      -6.078475473050e-12       0.000000000000e+00       3.408818297736e-12       6.188479444575e-13      -3.892911473636e-15 
  153       5.890488994568e-10       1.418845799899e-13      -6.075874371908e-12       0.000000000000e+00       3.345001246530e-12       6.098554991818e-13      -3.829930742375e-15 
  154       5.932663503043e-10       1.410360677470e-13      -6.070000933203e-12       0.000000000000e+00       3.282808126542e-12       6.010534704343e-13      -3.766982238665e-15 
  155       5.974548679742e-10       1.401347270760e-13      -6.060818625820e-12       0.000000000000e+00       3.222184577255e-12       5.924328397136e-13      -3.704035233836e-15 
  156       6.016130448369e-10       1.391822287117e-13      -6.048292586057e-12       0.000000000000e+00       3.163068568896e-12       5.839834657139e-13      -3.641054867566e-15 
  157       6.057394288133e-10       1.381803559605e-13      -6.032389657523e-12       0.000000000000e+00       3.105390245923e-12       5.756940616169e-13      -3.578002060057e-15 
  158       6.098325225751e-10       1.371310064506e-13      -6.013078431043e-12       0.000000000000e+00       3.049071770508e-12       5.675521723843e-13      -3.514833424198e-15 
