# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# All scalar field variables are dimensionless. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ur             13:(.)rho_crit           14:(.)rho_scf            15:(.)p_scf              16:Omega_phi_scf         17:theta_phi_scf         18:y_phi_scf             19:gr.fac. D             20:gr.fac. f          
       6.084410359892e+03       1.748356304295e-05       6.773915880735e+01       9.977314638275e+01       1.382306546623e+04       2.271509175016e+00       8.411902579365e+07       3.812748311510e+01       3.773449567090e+03       5.524361953153e+02       3.018439959698e+03       2.610355016961e+03       9.954680739113e+03       4.895586111165e-08      -4.895586111165e-08      -2.603814488401e+01       1.730350839135e-07       8.379494789632e-07       1.048442040025e+03       1.727555695303e+00 
       6.042082229546e+03       1.771319284825e-05       6.816610607787e+01       9.851352288689e+01       1.382263851896e+04       2.287349070211e+00       8.353134119935e+07       3.836142927694e+01       3.669552345621e+03       5.409884941497e+02       2.955891200333e+03       2.538482151434e+03       9.704914191587e+03       4.895586111165e-08      -4.895586111165e-08      -2.601273439233e+01       1.752745274576e-07       8.486637527110e-07       1.061156054630e+03       1.726220028071e+00 
       6.000048402542e+03       1.794575877074e-05       6.859550474688e+01       9.727034466579e+01       1.382220912029e+04       2.303299055951e+00       8.294774596092e+07       3.859663694310e+01       3.568515525314e+03       5.297779836254e+02       2.894638419972e+03       2.468588022442e+03       9.461519951402e+03       4.895586111165e-08      -4.895586111165e-08      -2.598733505897e+01       1.775420361667e-07       8.595102270199e-07       1.074014255507e+03       1.724880506486e+00 
       5.958306833208e+03       1.818129703841e-05       6.902736647166e+01       9.604339145052e+01       1.382177725856e+04       2.319359892923e+00       8.236821166405e+07       3.883311107390e+01       3.470260363432e+03       5.187997498555e+02       2.834654769771e+03       2.400618158210e+03       9.224333041319e+03       4.895586111165e-08      -4.895586111165e-08      -2.596194690568e+01       1.798379471921e-07       8.704904602323e-07       1.087018119926e+03       1.723537144666e+00 
       5.916855490089e+03       1.841984430630e-05       6.946170294398e+01       9.483244597163e+01       1.382134292209e+04       2.335532347020e+00       8.179271009191e+07       3.907085663109e+01       3.374710284738e+03       5.080489807440e+02       2.775913957061e+03       2.334519586371e+03       8.993192808962e+03       4.895586111165e-08      -4.895586111165e-08      -2.593656995401e+01       1.821626015258e-07       8.816060280790e-07       1.100169138016e+03       1.722189956974e+00 
       5.875692355850e+03       1.866143766123e-05       6.989852589004e+01       9.363729391791e+01       1.382090609915e+04       2.351817189373e+00       8.122121322377e+07       3.930987857763e+01       3.281790821829e+03       4.975209638772e+02       2.718390233821e+03       2.270240792693e+03       8.767942812269e+03       4.895586111165e-08      -4.895586111165e-08      -2.591120422528e+01       1.845163440421e-07       8.928585238633e-07       1.113468812836e+03       1.720838958011e+00 
       5.834815427178e+03       1.890611462670e-05       7.033784707041e+01       9.245772389576e+01       1.382046677797e+04       2.368215196389e+00       8.065369323365e+07       3.955018187754e+01       3.191429557126e+03       4.872110844592e+02       2.662058385403e+03       2.207731680948e+03       8.548430707985e+03       4.895586111165e-08      -4.895586111165e-08      -2.588584974059e+01       1.868995235389e-07       9.042495586458e-07       1.126918660466e+03       1.719484162623e+00 
       5.794222714685e+03       1.915391316766e-05       7.077967828006e+01       9.129352738913e+01       1.382002494676e+04       2.384727149784e+00       8.009012248896e+07       3.979177149567e+01       3.103556066451e+03       4.771148232898e+02       2.606893719482e+03       2.146943533879e+03       8.334508143150e+03       4.895586111165e-08      -4.895586111165e-08      -2.586050652086e+01       1.893124927799e-07       9.157807614313e-07       1.140520210090e+03       1.718125585895e+00 
       5.753912242811e+03       1.940487169548e-05       7.122403134827e+01       9.014449871996e+01       1.381958059369e+04       2.401353836620e+00       7.953047354913e+07       4.003465239756e+01       3.018101864158e+03       4.672277547842e+02       2.552872055235e+03       2.087828975247e+03       8.126030649472e+03       4.895586111165e-08      -4.895586111165e-08      -2.583517458675e+01       1.917556085371e-07       9.274537793585e-07       1.154275004075e+03       1.716763243156e+00 
       5.713882049727e+03       1.965902907291e-05       7.167091813860e+01       8.901043500921e+01       1.381913370690e+04       2.418096049342e+00       7.897471916433e+07       4.027882954922e+01       2.935000349777e+03       4.575455450344e+02       2.499969712747e+03       2.030341932921e+03       7.922857540528e+03       4.895586111165e-08      -4.895586111165e-08      -2.580985395874e+01       1.942292316338e-07       9.392702778904e-07       1.168184598059e+03       1.715397149976e+00 
