# Matter power spectrum P(k) at redshift z=0
# for k=1.04573e-05 to 10.6861 h/Mpc,
# number of wavenumbers equal to 613
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       6.719582959323e-01       1.800156007057e+02 
       6.751721683915e-01       1.781283848691e+02 
       6.783860409184e-01       1.762689695355e+02 
       6.815999135121e-01       1.744355255096e+02 
       6.848137861716e-01       1.726273231331e+02 
       6.880276588959e-01       1.708444217926e+02 
       6.912415316842e-01       1.690873618411e+02 
       6.944554045356e-01       1.673570017549e+02 
       6.976692774491e-01       1.656534014628e+02 
       7.008831504240e-01       1.639758226978e+02 
       7.040970234594e-01       1.623231303820e+02 
       7.073108965545e-01       1.606926895974e+02 
       7.105247697085e-01       1.590839626837e+02 
       7.137386429205e-01       1.574966758148e+02 
       7.169525161897e-01       1.559312550328e+02 
       7.201663895155e-01       1.543880582582e+02 
       7.233802628971e-01       1.528672651755e+02 
       7.265941363337e-01       1.513679065367e+02 
       7.298080098245e-01       1.498889042553e+02 
       7.330218833689e-01       1.484289079423e+02 
       7.362357569662e-01       1.469871521758e+02 
       7.394496306157e-01       1.455638140921e+02 
       7.426635043167e-01       1.441594158736e+02 
       7.458773780685e-01       1.427746836781e+02 
       7.490912518705e-01       1.414096801521e+02 
       7.523051257220e-01       1.400638181988e+02 
       7.555189996224e-01       1.387358651293e+02 
       8.259230620967e-01       1.135551281845e+02 
       9.280188963616e-01       8.713359482007e+01 
       1.090558663021e+00       6.008332846535e+01 
       1.346952705148e+00       3.664298524718e+01 
       1.693667448743e+00       2.122702827308e+01 
       2.132167244107e+00       1.215174808466e+01 
       2.684239419230e+00       6.899496802238e+00 
       3.379257216162e+00       3.888440200850e+00 
       4.254232782416e+00       2.176777768927e+00 
       5.355761757471e+00       1.211117832259e+00 
       6.742504575995e+00       6.700646630097e-01 
       8.488310349859e+00       3.688180557422e-01 
       1.068614960263e+01       2.020440465542e-01 
