# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  140       5.323798163146e-10       1.482017999215e-13      -5.854980866510e-12       8.571077758965e-16       4.312209491397e-12       7.435422091677e-13      -4.658128142649e-15 
  141       5.368527255267e-10       1.481584770226e-13      -5.887807327585e-12       8.702686808107e-16       4.226601282409e-12       7.318808750843e-13      -4.593044928050e-15 
  142       5.413124883285e-10       1.480507059029e-13      -5.917917543235e-12       8.835603379766e-16       4.143129125454e-12       7.204752005937e-13      -4.528511601056e-15 
  143       5.457574696568e-10       1.478788178612e-13      -5.945256445372e-12       8.969839096618e-16       4.061623302247e-12       7.093101856816e-13      -4.464326394275e-15 
  144       5.501860918022e-10       1.476432402258e-13      -5.969770412829e-12       9.105404589635e-16       3.981932599000e-12       6.983721812761e-13      -4.400311071876e-15 
  145       5.545972526007e-10       1.473445262274e-13      -5.991408442547e-12       9.242305857126e-16       3.904035780106e-12       6.876589805571e-13      -4.336433102572e-15 
  146       5.589899456772e-10       1.469833313094e-13      -6.010121166556e-12       9.380547547491e-16       3.827940465173e-12       6.771706483971e-13      -4.272694990242e-15 
  147       5.633631284368e-10       1.465604060693e-13      -6.025860537786e-12       9.520134092288e-16       3.753648013191e-12       6.669063312372e-13      -4.209095897577e-15 
  148       5.677157212697e-10       1.460765980069e-13      -6.038579870126e-12       9.661069700773e-16       3.681153366010e-12       6.568642343789e-13      -4.145631558247e-15 
  149       5.720466067570e-10       1.455328532726e-13      -6.048233878479e-12       9.803358354446e-16       3.610444891832e-12       6.470415992762e-13      -4.082294189076e-15 
  150       5.763546288754e-10       1.449302184162e-13      -6.054778718809e-12       9.947003801591e-16       3.541504228690e-12       6.374346808274e-13      -4.019072402212e-15 
  151       5.806385922028e-10       1.442698421349e-13      -6.058172028199e-12       1.009200955182e-15       3.474306127939e-12       6.280387246669e-13      -3.955951117296e-15 
  152       5.848972611235e-10       1.435529770222e-13      -6.058372964906e-12       1.023837887060e-15       3.408818297736e-12       6.188479444575e-13      -3.892911473636e-15 
  153       5.891293590334e-10       1.427809813160e-13      -6.055342248410e-12       1.038611477382e-15       3.345001246530e-12       6.098554991818e-13      -3.829930742375e-15 
  154       5.933335675454e-10       1.419553206473e-13      -6.049042199471e-12       1.053522002233e-15       3.282808126542e-12       6.010534704343e-13      -3.766982238665e-15 
  155       5.975085256946e-10       1.410775697885e-13      -6.039436780182e-12       1.068569711644e-15       3.222184577255e-12       5.924328397136e-13      -3.704035233836e-15 
  156       6.016528291436e-10       1.401494144017e-13      -6.026491634021e-12       1.083754829052e-15       3.163068568896e-12       5.839834657139e-13      -3.641054867566e-15 
  157       6.057650293876e-10       1.391726527876e-13      -6.010174125906e-12       1.099077550751e-15       3.105390245923e-12       5.756940616169e-13      -3.578002060057e-15 
  158       6.098436329599e-10       1.381491976335e-13      -5.990453382249e-12       1.114538045348e-15       3.049071770508e-12       5.675521723843e-13      -3.514833424198e-15 
  159       6.138871006372e-10       1.370810777620e-13      -5.967300331007e-12       1.130136453212e-15       2.994027166026e-12       5.595441520487e-13      -3.451501177744e-15 
  160       6.178938466447e-10       1.359704398792e-13      -5.940687741739e-12       1.145872885937e-15       2.940162160536e-12       5.516551410067e-13      -3.387953055483e-15 
  161       6.218623481660e-10       1.348195003698e-13      -5.910590114707e-12       1.161747436302e-15       2.887393503010e-12       5.438723546650e-13      -3.324150423782e-15 
  162       6.257914864251e-10       1.336303922201e-13      -5.876983253074e-12       1.177760210314e-15       2.835709160229e-12       5.361953238781e-13      -3.260124608827e-15 
  163       6.296802343888e-10       1.324053078363e-13      -5.839844729251e-12       1.193911296973e-15       2.785113168915e-12       5.286265209174e-13      -3.195925404974e-15 
  164       6.335275488899e-10       1.311465492874e-13      -5.799154071485e-12       1.210200757517e-15       2.735606575384e-12       5.211681221508e-13      -3.131603316339e-15 
  165       6.373323703402e-10       1.298565298237e-13      -5.754892803220e-12       1.226628624924e-15       2.687187368622e-12       5.138220005700e-13      -3.067209552713e-15 
  166       6.410936224428e-10       1.285377753952e-13      -5.707044482458e-12       1.243194903419e-15       2.639850413361e-12       5.065897183171e-13      -3.002796025485e-15 
  167       6.448102119053e-10       1.271929261707e-13      -5.655594741115e-12       1.259899567972e-15       2.593587383157e-12       4.994725192120e-13      -2.938415343551e-15 
